2024-12-15 23:12:20 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:20 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:20 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:20 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:20 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:20 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:21 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 3 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 1 faces no frame
2024-12-15 23:12:22 | DEBUG    | Components.video_processor:106 | Detectadas 2 faces no frame
